timestamp,split,class,filepath,source,board_meta,row,col
1761349928,train,black_rook,data\train\black_rook\black_rook_1761349928802_r0c0.png,data\raw\boards\board1.png,r0c0,0,0
1761349929,train,black_knight,data\train\black_knight\black_knight_1761349929929_r0c1.png,data\raw\boards\board1.png,r0c1,0,1
1761349930,train,black_bishop,data\train\black_bishop\black_bishop_1761349930548_r0c2.png,data\raw\boards\board1.png,r0c2,0,2
1761349931,val,black_queen,data\val\black_queen\black_queen_1761349931577_r0c3.png,data\raw\boards\board1.png,r0c3,0,3
1761349932,train,black_king,data\train\black_king\black_king_1761349932338_r0c4.png,data\raw\boards\board1.png,r0c4,0,4
1761349934,train,black_bishop,data\train\black_bishop\black_bishop_1761349934138_r0c5.png,data\raw\boards\board1.png,r0c5,0,5
1761349934,train,black_knight,data\train\black_knight\black_knight_1761349934736_r0c6.png,data\raw\boards\board1.png,r0c6,0,6
1761349935,train,black_rook,data\train\black_rook\black_rook_1761349935330_r0c7.png,data\raw\boards\board1.png,r0c7,0,7
1761349936,train,black_pawn,data\train\black_pawn\black_pawn_1761349936549_r1c0.png,data\raw\boards\board1.png,r1c0,1,0
1761349936,train,black_pawn,data\train\black_pawn\black_pawn_1761349936754_r1c1.png,data\raw\boards\board1.png,r1c1,1,1
1761349944,train,empty,data\train\empty\empty_1761349944261_r2c1.png,data\raw\boards\board1.png,r2c1,2,1
1761349944,train,empty,data\train\empty\empty_1761349944839_r2c2.png,data\raw\boards\board1.png,r2c2,2,2
1761349953,train,empty,data\train\empty\empty_1761349953830_r5c0.png,data\raw\boards\board1.png,r5c0,5,0
1761349958,train,white_pawn,data\train\white_pawn\white_pawn_1761349958138_r6c0.png,data\raw\boards\board1.png,r6c0,6,0
1761349959,train,white_pawn,data\train\white_pawn\white_pawn_1761349959829_r6c1.png,data\raw\boards\board1.png,r6c1,6,1
1761349960,train,white_pawn,data\train\white_pawn\white_pawn_1761349960187_r6c2.png,data\raw\boards\board1.png,r6c2,6,2
1761349963,train,white_pawn,data\train\white_pawn\white_pawn_1761349963891_r6c3.png,data\raw\boards\board1.png,r6c3,6,3
1761349964,train,white_pawn,data\train\white_pawn\white_pawn_1761349964074_r6c4.png,data\raw\boards\board1.png,r6c4,6,4
1761349964,train,white_pawn,data\train\white_pawn\white_pawn_1761349964235_r6c5.png,data\raw\boards\board1.png,r6c5,6,5
1761349964,train,white_pawn,data\train\white_pawn\white_pawn_1761349964615_r6c6.png,data\raw\boards\board1.png,r6c6,6,6
1761349965,train,white_pawn,data\train\white_pawn\white_pawn_1761349965519_r6c7.png,data\raw\boards\board1.png,r6c7,6,7
1761349966,train,black_rook,data\train\black_rook\black_rook_1761349966902_r7c0.png,data\raw\boards\board1.png,r7c0,7,0
