timestamp,split,class,filepath,source,board_meta,row,col
1761350249,train,black_rook,data\train\black_rook\black_rook_1761350249266_r0c0.png,data\raw\boards\board2.png,r0c0,0,0
1761350249,train,black_knight,data\train\black_knight\black_knight_1761350249716_r0c1.png,data\raw\boards\board2.png,r0c1,0,1
1761350251,train,black_bishop,data\train\black_bishop\black_bishop_1761350251079_r0c2.png,data\raw\boards\board2.png,r0c2,0,2
1761350251,train,black_queen,data\train\black_queen\black_queen_1761350251845_r0c3.png,data\raw\boards\board2.png,r0c3,0,3
1761350252,train,black_king,data\train\black_king\black_king_1761350252279_r0c4.png,data\raw\boards\board2.png,r0c4,0,4
1761350253,train,black_bishop,data\train\black_bishop\black_bishop_1761350253050_r0c5.png,data\raw\boards\board2.png,r0c5,0,5
1761350253,train,black_knight,data\train\black_knight\black_knight_1761350253562_r0c6.png,data\raw\boards\board2.png,r0c6,0,6
1761350254,train,black_rook,data\train\black_rook\black_rook_1761350254397_r0c7.png,data\raw\boards\board2.png,r0c7,0,7
1761350255,train,black_pawn,data\train\black_pawn\black_pawn_1761350255727_r1c0.png,data\raw\boards\board2.png,r1c0,1,0
1761350255,val,black_pawn,data\val\black_pawn\black_pawn_1761350255996_r1c1.png,data\raw\boards\board2.png,r1c1,1,1
1761350260,train,empty,data\train\empty\empty_1761350260011_r2c0.png,data\raw\boards\board2.png,r2c0,2,0
1761350260,train,empty,data\train\empty\empty_1761350260326_r2c1.png,data\raw\boards\board2.png,r2c1,2,1
1761350262,val,empty,data\val\empty\empty_1761350262438_r3c0.png,data\raw\boards\board2.png,r3c0,3,0
1761350262,train,empty,data\train\empty\empty_1761350262731_r3c1.png,data\raw\boards\board2.png,r3c1,3,1
1761350264,train,empty,data\train\empty\empty_1761350264231_r4c0.png,data\raw\boards\board2.png,r4c0,4,0
1761350264,train,empty,data\train\empty\empty_1761350264480_r4c1.png,data\raw\boards\board2.png,r4c1,4,1
1761350266,train,empty,data\train\empty\empty_1761350266002_r5c0.png,data\raw\boards\board2.png,r5c0,5,0
1761350266,train,empty,data\train\empty\empty_1761350266251_r5c1.png,data\raw\boards\board2.png,r5c1,5,1
1761350272,train,white_pawn,data\train\white_pawn\white_pawn_1761350272726_r6c0.png,data\raw\boards\board2.png,r6c0,6,0
1761350272,train,white_pawn,data\train\white_pawn\white_pawn_1761350272996_r6c1.png,data\raw\boards\board2.png,r6c1,6,1
1761350278,train,white_rook,data\train\white_rook\white_rook_1761350278666_r7c0.png,data\raw\boards\board2.png,r7c0,7,0
1761350279,train,white_knight,data\train\white_knight\white_knight_1761350279794_r7c1.png,data\raw\boards\board2.png,r7c1,7,1
1761350280,train,white_bishop,data\train\white_bishop\white_bishop_1761350280959_r7c2.png,data\raw\boards\board2.png,r7c2,7,2
1761350281,train,white_queen,data\train\white_queen\white_queen_1761350281835_r7c3.png,data\raw\boards\board2.png,r7c3,7,3
1761350283,train,white_king,data\train\white_king\white_king_1761350283318_r7c4.png,data\raw\boards\board2.png,r7c4,7,4
1761350285,train,white_bishop,data\train\white_bishop\white_bishop_1761350285249_r7c5.png,data\raw\boards\board2.png,r7c5,7,5
1761350285,train,white_knight,data\train\white_knight\white_knight_1761350285870_r7c6.png,data\raw\boards\board2.png,r7c6,7,6
1761350287,train,white_rook,data\train\white_rook\white_rook_1761350287208_r7c7.png,data\raw\boards\board2.png,r7c7,7,7
